date,KBFI,KSEA,KRNT
201505190313,0,0,0
201505190314,0,0,0
201505190315,0,0,0
201505190316,0,0,0
201505190317,0,0,0
201505190318,0,0,0
201505190319,0,0,0
201505190320,0,0,0
201505190321,0,0,0
201505190322,0,0,0
201505190323,0,0,0
201505190324,0,0,0
201505190325,0,0,0
201505190326,0,0,0
201505190327,0,0,0
201505190328,0,0,0
201505190329,0,0,0
201505190330,0,0,0
201505190331,0,0,0
201505190332,0,0,0
201505190333,0,0,0
201505190334,0,0,0
201505190335,0,0,0
201505190336,0,0,0
201505190337,0,0,0
201505190338,0,0,0
201505190339,0,0,0
201505190340,0,0,0
201505190341,0,0,0
201505190342,0,0,0
201505190343,0,0,0
201505190344,0,0,0
201505190345,0,0,0
201505190346,0,0,0
201505190347,0,0,0
201505190348,0,0,0
201505190349,0,0,0
201505190350,0,0,0
201505190351,0,0,0
201505190352,0,0,0
201505190353,0,0,0
201505190354,0,0,0
201505190355,0,0,0
201505190356,0,0,0
201505190357,0,0,0
201505190358,0,0,0
201505190359,0,0,0
201505190400,0,0,0
201505190401,0,0,0
201505190402,0,0,0
201505190403,0,0,0
201505190404,0,0,0
201505190405,0,0,0
201505190406,0,0,0
201505190407,0,0,0
201505190408,0,0,0
201505190409,0,0,0
201505190410,0,0,0
201505190411,0,0,0
201505190412,0,0,0
201505190413,0,0,0
201505190414,0,0,0
201505190415,0,0,0
201505190416,0,0,0
201505190417,0,0,0
201505190418,0,0,0
201505190419,0,0,0
201505190420,0,0,0
201505190421,0,0,0
201505190422,0,0,0
201505190423,0,0,0
201505190424,0,0,0
201505190425,0,0,0
201505190426,0,0,0
201505190427,0,0,0
201505190428,0,0,0
201505190429,0,0,0
201505190430,0,0,0
201505190431,0,0,0
201505190432,0,0,0
201505190433,0,0,0
201505190434,0,0,0
201505190435,0,0,0
201505190436,0,0,0
201505190437,0,0,0
201505190438,0,0,0
201505190439,0,0,0
201505190440,0,0,0
201505190441,0,0,0
201505190442,0,0,0
201505190443,0,0,0
201505190444,0,0,0
201505190445,0,0,0
201505190446,0,0,0
201505190447,0,0,0
201505190448,0,0,0
201505190449,0,0,0
201505190450,0,0,0
201505190451,0,0,0
201505190452,0,0,0
201505190453,0,0,0
201505190454,0,0,0
201505190455,0,0,0
201505190456,0,0,0
201505190457,0,0,0
201505190458,0,0,0
201505190459,0,0,0
201505190500,0,0,0
201505190501,0,0,0
201505190502,0,0,0
201505190503,0,0,0
201505190504,0,0,0
201505190505,0,0,0
201505190506,0,0,0
201505190507,0,0,0
201505190508,0,0,0
201505190509,0,0,0
201505190510,0,0,0
201505190511,0,0,0
201505190512,0,0,0
201505190513,0,0,0
201505190514,0,0,0
201505190515,0,0,0
201505190516,0,0,0
201505190517,0,0,0
201505190518,0,0,0
201505190519,0,0,0
201505190520,0,0,0
201505190521,0,0,0
201505190522,0,0,0
201505190523,0,0,0
201505190524,0,0,0
201505190525,0,0,0
201505190526,0,0,0
201505190527,0,0,0
201505190528,0,0,0
201505190529,0,0,0
201505190530,0,0,0
201505190531,0,0,0
201505190532,0,0,0
201505190533,0,0,0
201505190534,0,0,0
201505190535,0,0,0
201505190536,0,0,0
201505190537,0,0,0
201505190538,0,0,0
201505190539,0,0,0
201505190540,0,0,0
201505190541,0,0,0
201505190542,0,0,0
201505190543,0,0,0
201505190544,0,0,0
201505190545,0,0,0
201505190546,0,0,0
201505190547,0,0,0
201505190548,0,0,0
201505190549,0,0,0
201505190550,0,0,0
201505190551,0,0,0
201505190552,0,0,0
201505190553,0,0,0
201505190554,0,0,0
201505190555,0,0,0
201505190556,0,0,0
201505190557,0,0,0
201505190558,0,0,0
201505190559,0,0,0
201505190600,0,0,0
201505190601,0,0,0
201505190602,0,0,0
201505190603,0,0,0
201505190604,0,0,0
201505190605,0,0,0
201505190606,0,0,0
201505190607,0,0,0
201505190608,0,0,0
201505190609,0,0,0
201505190610,0,0,0
201505190611,0,0,0
201505190612,0,0,0
201505190613,0,0,0
201505190614,0,0,0
201505190615,0,0,0
201505190616,0,0,0
201505190617,0,0,0
201505190618,0,0,0
201505190619,0,0,0
201505190620,0,0,0
201505190621,0,0,0
201505190622,0,0,0
201505190623,0,0,0
201505190624,0,0,0
201505190625,0,0,0
201505190626,0,0,0
201505190627,0,0,0
201505190628,0,0,0
201505190629,0,0,0
201505190630,0,0,0
201505190631,0,0,0
201505190632,0,0,0
201505190633,0,0,0
201505190634,0,0,0
201505190635,0,0,0
201505190636,0,0,0
201505190637,0,0,0
201505190638,0,0,0
201505190639,0,0,0
201505190640,0,0,0
201505190641,0,0,0
201505190642,0,0,0
201505190643,0,0,0
201505190644,0,0,0
201505190645,0,0,0
201505190646,0,0,0
201505190647,0,0,0
201505190648,0,0,0
201505190649,0,0,0
201505190650,0,0,0
201505190651,0,0,0
201505190652,0,0,0
201505190653,0,0,0
201505190654,0,0,0
201505190655,0,0,0
201505190656,0,0,0
201505190657,0,0,0
201505190658,0,0,0
201505190659,0,0,0
201505190700,0,0,0
201505190701,0,0,0
201505190702,0,0,0
201505190703,0,0,0
201505190704,0,0,0
201505190705,0,0,0
201505190706,0,0,0
201505190707,0,0,0
201505190708,0,0,0
201505190709,0,0,0
201505190710,0,0,0
201505190711,0,0,0
201505190712,0,0,0
201505190713,0,0,0
201505190714,0,0,0
201505190715,0,0,0
201505190716,0,0,0
201505190717,0,0,0
201505190718,0,0,0
201505190719,0,0,0
201505190720,0,0,0
201505190721,0,0,0
201505190722,0,0,0
201505190723,0,0,0
201505190724,0,0,0
201505190725,0,0,0
201505190726,0,0,0
201505190727,0,0,0
201505190728,0,0,0
201505190729,0,0,0
201505190730,0,0,0
201505190731,0,0,0
201505190732,0,0,0
201505190733,0,0,0
201505190734,0,0,0
201505190735,0,0,0
201505190736,0,0,0
201505190737,0,0,0
201505190738,0,0,0
201505190739,0,0,0
201505190740,0,0,0
201505190741,0,0,0
201505190742,0,0,0
201505190743,0,0,0
201505190744,0,0,0
201505190745,0,0,0
201505190746,0,0,0
201505190747,0,0,0
201505190748,0,0,0
201505190749,0,0,0
201505190750,0,0,0
201505190751,0,0,0
201505190752,0,0,0
201505190753,0,0,0
201505190754,0,0,0
201505190755,0,0,0
201505190756,0,0,0
201505190757,0,0,0
201505190758,0,0,0
201505190759,0,0,0
201505190800,0,0,0
201505190801,0,0,0
201505190802,0,0,0
201505190803,0,0,0
201505190804,0,0,0
201505190805,0,0,0
201505190806,0,0,0
201505190807,0,0,0
201505190808,0,0,0
201505190809,0,0,0
201505190810,0,0,0
201505190811,0,0,0
201505190812,0,0,0
201505190813,0,0,0
201505190814,0,0,0
201505190815,0,0,0
201505190816,0,0,0
201505190817,0,0,0
201505190818,0,0,0
201505190819,0,0,0
201505190820,0,0,0
201505190821,0,0,0
201505190822,0,0,0
201505190823,0,0,0
201505190824,0,0,0
201505190825,0,0,0
201505190826,0,0,0
201505190827,0,0,0
201505190828,0,0,0
201505190829,0,0,0
201505190830,0,0,0
201505190831,0,0,0
201505190832,0,0,0
201505190833,0,0,0
201505190834,0,0,0
201505190835,0,0,0
201505190836,0,0,0
201505190837,0,0,0
201505190838,0,0,0
201505190839,0,0,0
201505190840,0,0,0
201505190841,0,0,0
201505190842,0,0,0
201505190843,0,0,0
201505190844,0,0,0
201505190845,0,0,0
201505190846,0,0,0
201505190847,0,0,0
201505190848,0,0,0
201505190849,0,0,0
201505190850,0,0,0
201505190851,0,0,0
201505190852,0,0,0
201505190853,0,0,0
201505190854,0,0,0
201505190855,0,0,0
201505190856,0,0,0
201505190857,0,0,0
201505190858,0,0,0
201505190859,0,0,0
201505190900,0,0,0
201505190901,0,0,0
201505190902,0,0,0
201505190903,0,0,0
201505190904,0,0,0
201505190905,0,0,0
201505190906,0,0,0
201505190907,0,0,0
201505190908,0,0,0
201505190909,0,0,0
201505190910,0,0,0
201505190911,0,0,0
201505190912,0,0,0
201505190913,0,0,0
201505190914,0,0,0
201505190915,0,0,0
201505190916,0,0,0
201505190917,0,0,0
201505190918,0,0,0
201505190919,0,0,0
201505190920,0,0,0
201505190921,0,0,0
201505190922,0,0,0
201505190923,0,0,0
201505190924,0,0,0
201505190925,0,0,0
201505190926,0,0,0
201505190927,0,0,0
201505190928,0,0,0
201505190929,0,0,0
201505190930,0,0,0
201505190931,0,0,0
201505190932,0,0,0
201505190933,0,0,0
201505190934,0,0,0
201505190935,0,0,0
201505190936,0,0,0
201505190937,0,0,0
201505190938,0,0,0
201505190939,0,0,0
201505190940,0,0,0
201505190941,0,0,0
201505190942,0,0,0
201505190943,0,0,0
201505190944,0,0,0
201505190945,0,0,0
201505190946,0,0,0
201505190947,0,0,0
201505190948,0,0,0
201505190949,0,0,0
201505190950,0,0,0
201505190951,0,0,0
201505190952,0,0,0
201505190953,0,0,0
201505190954,0,0,0
201505190955,0,0,0
201505190956,0,0,0
201505190957,0,0,0
201505190958,0,0,0
201505190959,0,0,0
201505191000,0,0,0
201505191001,0,0,0
201505191002,0,0,0
201505191003,0,0,0
201505191004,0,0,0
201505191005,0,0,0
201505191006,0,0,0
201505191007,0,0,0
201505191008,0,0,0
201505191009,0,0,0
201505191010,0,0,0
201505191011,0,0,0
201505191012,0,0,0
201505191013,0,0,0
201505191014,0,0,0
201505191015,0,0,0
201505191016,0,0,0
201505191017,0,0,0
201505191018,0,0,0
201505191019,0,0,0
201505191020,0,0,0
201505191021,0,0,0
201505191022,0,0,0
201505191023,0,0,0
201505191024,0,0,0
201505191025,0,0,0
201505191026,0,0,0
201505191027,0,0,0
201505191028,0,0,0
201505191029,0,0,0
201505191030,0,0,0
201505191031,0,0,0
201505191032,0,0,0
201505191033,0,0,0
201505191034,0,0,0
201505191035,0,0,0
201505191036,0,0,0
201505191037,0,0,0
201505191038,0,0,0
201505191039,0,0,0
201505191040,0,0,0
201505191041,0,0,0
201505191042,0,0,0
201505191043,0,0,0
201505191044,0,0,0
201505191045,0,0,0
201505191046,0,0,0
201505191047,0,0,0
201505191048,0,0,0
201505191049,0,0,0
201505191050,0,0,0
201505191051,0,0,0
201505191052,0,0,0
201505191053,0,0,0
201505191054,0,0,0
201505191055,0,0,0
201505191056,0,0,0
201505191057,0,0,0
201505191058,0,0,0
201505191059,0,0,0
201505191100,0,0,0
201505191101,0,0,0
201505191102,0,0,0
201505191103,0,0,0
201505191104,0,0,0
201505191105,0,0,0
201505191106,0,0,0
201505191107,0,0,0
